label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|hardware|notes
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|code|0|201.6|194|129|Apple-M4-Max-128gb|
gemma4-e2b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|prefill|5562.1|0|851|1|Apple-M4-Max-128gb|
gemma4-e2b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|decode|0|172.7|27|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|echo|0|157.0|143|81|Apple-M4-Max-128gb|
gemma4-e2b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|code|0|161.4|194|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|prefill|2768.7|0|850|1|Apple-M4-Max-128gb|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|decode|0|146.3|26|127|Apple-M4-Max-128gb|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|echo|0|125.0|143|82|Apple-M4-Max-128gb|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|code|0|137.6|194|127|Apple-M4-Max-128gb|
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|prefill|2234.4|0|858|1|Apple-M4-Max-128gb|
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|decode|0|120.6|34|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|echo|0|114.6|150|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|code|0|114.9|201|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|1808.5|0|850|1|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|110.7|27|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|97.6|143|81|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|101.0|193|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|prefill|1751.0|0|851|1|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|decode|0|98.6|26|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|echo|0|158.8|143|81|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|code|0|100.2|193|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|prefill|1740.3|0|851|1|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|decode|0|101.7|26|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|echo|0|129.2|143|81|Apple-M4-Max-128gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|code|0|131.4|193|131|Apple-M4-Max-128gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|2065.5|0|851|1|Apple-M4-Max-128gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|106.7|27|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|95.1|143|81|Apple-M4-Max-128gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|100.0|193|128|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|prefill|1533.3|0|851|1|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|decode|0|94.8|27|127|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|echo|0|81.4|142|82|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|code|0|89.2|193|127|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|prefill|1185.1|0|858|1|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|decode|0|80.9|34|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|echo|0|72.1|149|82|Apple-M4-Max-128gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|code|0|74.9|201|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|prefill|201.5|0|855|1|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|decode|0|23.9|31|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|echo|0|19.7|146|88|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|code|0|20.5|198|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|prefill|201.4|0|855|1|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|decode|0|23.3|31|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|echo|0|26.7|147|88|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|code|0|18.6|197|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|prefill|188.3|0|853|1|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|decode|0|20.9|31|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|echo|0|21.4|146|90|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|code|0|20.4|198|131|Apple-M4-Max-128gb|
gemma4-31b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|prefill|203.4|0|853|1|Apple-M4-Max-128gb|
gemma4-31b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|decode|0|23.7|31|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|echo|0|19.6|147|88|Apple-M4-Max-128gb|
gemma4-31b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|code|0|19.9|198|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|prefill|189.6|0|854|1|Apple-M4-Max-128gb|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|decode|0|22.4|31|127|Apple-M4-Max-128gb|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|echo|0|19.3|147|89|Apple-M4-Max-128gb|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|code|0|19.3|198|127|Apple-M4-Max-128gb|
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|prefill|187.4|0|857|1|Apple-M4-Max-128gb|
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|decode|0|20.1|34|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|echo|0|18.3|150|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|code|0|17.2|201|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|prefill|1263.3|0|854|1|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|decode|0|106.6|31|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|echo|0|91.1|146|88|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|code|0|96.5|198|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|prefill|1251.8|0|855|1|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|decode|0|97.3|31|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|echo|0|125.2|147|88|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|code|0|91.7|197|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|prefill|1078.2|0|855|1|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|decode|0|43.9|29|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|echo|0|62.2|146|90|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|code|0|66.9|197|130|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/omlx/none|omlx|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|prefill|1416.3|0|854|1|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/omlx/none|omlx|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|decode|0|103.9|31|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/omlx/none|omlx|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|echo|0|88.3|147|88|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/omlx/none|omlx|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|code|0|92.8|198|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|prefill|1147.7|0|855|1|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|decode|0|80.5|31|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|echo|0|72.6|147|89|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|code|0|76.1|198|128|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|prefill|1117.3|0|857|1|Apple-M4-Max-128gb|
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|decode|0|80.4|34|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|echo|0|78.8|149|128|Apple-M4-Max-128gb|thinking_leaked=250
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|code|0|75.5|201|128|Apple-M4-Max-128gb|thinking_leaked=250
