label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|hardware|notes
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|prefill|3748.9|0|851|1|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|decode|0|176.6|27|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|echo|0|164.0|143|81|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|code|0|169.8|192|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|prefill|3668.1|0|851|1|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|decode|0|155.0|27|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|echo|0|269.1|141|81|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|code|0|166.4|194|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|prefill|3235.7|0|851|1|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|decode|0|153.8|27|128|Apple-M4-Max-128gb|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|echo|0|192.0|143|82|Apple-M4-Max-128gb|
