label|kind|model|scenario|run|prompt_n|cached_n|prompt_ms|prompt_tok_s|wall_ms|hw|notes
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|cold|1|733|0|1867.443|392.515|1977|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|cold|2|735|0|1864.709|394.163|2003|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_first|1|499|0|1334.743|373.855|1500|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat2|2|499|498|30.038|33.291|164|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat3|3|499|498|28.462|35.135|162|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat4|4|499|498|29.415|33.997|163|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|cold|1|733|0|0|0|2146|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|cold|2|733|0|0|0|2136|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_first|1|497|0|0|0|1588|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_repeat2|2|497|0|0|0|384|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_repeat3|3|497|0|0|0|394|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_repeat4|4|497|0|0|0|11368|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|cold|1|731|0|1129.047|647.449|1289|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|cold|2|731|0|1129.465|647.209|1315|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_first|1|0|0|0|0|ERR|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat2|2|0|0|0|0|ERR|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat3|3|0|0|0|0|ERR|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat4|4|0|0|0|0|ERR|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|cold|1|733|0|1474.465|497.129|3463|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|cold|2|735|0|1342.878|547.332|2189|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_first|1|499|0|40.084|12448.935|1502|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat2|2|499|498|0.755|1324.43|189|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat3|3|499|498|0.913|1095.89|188|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat4|4|499|498|0.844|1185.185|193|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|cold|1|734|0|0|0|3211|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|cold|2|734|0|0|0|2505|Apple-M4-16gb|
